Data;BD;BS;PT;BTN A;BTN B;BTN C;Preço
29/12/2025;C;C;0,2318586;0,0306016;0,0394796;0,0524878;85,
29/12/2025;C;C;0,2350803;0,0312655;0,0399511;0,0534788;85,
29/12/2025;C;C;0,2397409;0,0319116;0,0405246;0,054435;85,
29/12/2025;C;C;0,2425743;0,032538;0,0411345;0,0553371;85,
29/12/2025;C;C;0,2450437;0,0331412;0,0417957;0,0562522;85,
29/12/2025;C;C;0,2468593;0,0338158;0,04235;0,0568054;85,
29/12/2025;C;C;0,2476671;0,0345266;0,0427594;0,0569037;85,
29/12/2025;C;C;0,2473726;0,0352592;0,0429236;0,0563409;85,
29/12/2025;C;C;0,2460917;0,0359846;0,0428845;0,055375;85,
29/12/2025;C;C;0,2441714;0,0367422;0,0427729;0,0541708;85,
29/12/2025;C;C;0,241798;0,0374057;0,0425213;0,0528398;85,
29/12/2025;C;C;0,2390132;0,0379894;0,0420946;0,0514116;85,
29/12/2025;C;C;0,2342342;0,0385478;0,0415074;0,0498218;85,
29/12/2025;C;C;0,2307234;0,0393086;0,0408356;0,0479604;85,
29/12/2025;C;C;0,2269728;0,0399474;0,0401273;0,0458953;85,
29/12/2025;C;C;0,2232122;0,0404383;0,0393363;0,0437309;85,
29/12/2025;C;C;0,2197433;0,0405694;0,0385964;0,041703;85,
29/12/2025;C;C;0,216543;0,0407078;0,0379207;0,039956;85,
29/12/2025;C;C;0,2134448;0,0407997;0,037334;0,0385996;85,
29/12/2025;C;C;0,2105779;0,0409511;0,0368901;0,0375928;85,
29/12/2025;C;C;0,2081141;0,0410195;0,0366417;0,0368755;85,
29/12/2025;C;C;0,2060517;0,0411685;0,0366388;0,0364058;85,
29/12/2025;C;C;0,2044033;0,0413613;0,0367016;0,0361542;85,
29/12/2025;C;C;0,203128;0,0417089;0,0368106;0,0360954;85,
29/12/2025;C;C;0,2021946;0,0420809;0,0369983;0,0361624;85,
29/12/2025;C;C;0,201527;0,0424609;0,0373518;0,0363633;85,
29/12/2025;C;C;0,2010338;0,042784;0,037868;0,0366023;85,
29/12/2025;C;C;0,2005563;0,0429755;0,0383047;0,0368629;85,
29/12/2025;C;C;0,1999989;0,0429978;0,0385644;0,0370917;85,
29/12/2025;C;C;0,1993643;0,042576;0,0386536;0,0372381;85,
29/12/2025;C;C;0,1988401;0,042064;0,0387033;0,0374268;85,
29/12/2025;C;C;0,1987548;0,0414565;0,0388644;0,0376955;85,
29/12/2025;C;C;0,19925;0,0413225;0,0391071;0,0381521;85,
29/12/2025;C;C;0,2003018;0,0415048;0,039476;0,0386793;85,
29/12/2025;C;C;0,2015843;0,0421532;0,03982;0,0390884;85,
29/12/2025;C;C;0,2028217;0,0432763;0,0401486;0,0393609;85,
29/12/2025;C;C;0,2037463;0,0444376;0,0403313;0,0393145;85,
29/12/2025;C;C;0,2040745;0,0455412;0,0403147;0,0390583;85,
29/12/2025;C;C;0,2053694;0,0459759;0,0400073;0,0385645;85,
29/12/2025;C;C;0,2046133;0,0460174;0,0395692;0,0380418;85,
29/12/2025;C;C;0,2037692;0,0456718;0,0391699;0,0375296;85,
29/12/2025;C;C;0,2030619;0,0452727;0,038886;0,0370984;85,
29/12/2025;C;C;0,2026458;0,0448715;0,0388008;0,036795;85,
29/12/2025;C;C;0,2024556;0,0444572;0,0387869;0,0366095;85,
29/12/2025;C;C;0,2022969;0,043983;0,0387901;0,0365253;85,
29/12/2025;C;C;0,2019235;0,0434866;0,0384894;0,036333;85,
29/12/2025;C;C;0,2011229;0,0428996;0,038113;0,0360418;85,
29/12/2025;C;C;0,1998147;0,0421521;0,0376117;0,0355699;85,
29/12/2025;C;C;0,1963413;0,0411031;0,0369864;0,0349728;85,
29/12/2025;C;C;0,193804;0,0395664;0,0359646;0,0341998;85,
29/12/2025;C;C;0,1907433;0,0377476;0,0348018;0,0335504;85,
29/12/2025;C;C;0,1873896;0,0356191;0,0337836;0,0329943;85,
29/12/2025;C;C;0,1836577;0,0335728;0,0330182;0,032363;85,
29/12/2025;C;C;0,1793328;0,0311562;0,0323365;0,0314277;85,
29/12/2025;V;C;0,1742515;0,0288201;0,0314056;0,0302463;85,
29/12/2025;V;C;0,1687057;0,0266507;0,0302095;0,0289192;85,
29/12/2025;V;C;0,1632509;0,0251322;0,0286746;0,027452;85,
29/12/2025;V;C;0,1584345;0,0238455;0,0270218;0,025806;85,
29/12/2025;V;V;0,1562659;0,0226727;0,0255803;0,0242683;85,
29/12/2025;V;V;0,1529467;0,021567;0,0244406;0,0229611;85,
29/12/2025;V;V;0,1503638;0,0207542;0,0236942;0,0219945;85,
29/12/2025;V;V;0,1484457;0,0200926;0,0230276;0,0212246;85,
29/12/2025;V;V;0,1448271;0,0196131;0,022499;0,0206387;85,
29/12/2025;V;V;0,1438062;0,0192127;0,021989;0,0202418;85,
29/12/2025;V;V;0,1431282;0,0189754;0,0216653;0,0200008;85,
29/12/2025;V;V;0,1427146;0,0187712;0,0214011;0,0198334;85,
29/12/2025;V;V;0,1424738;0,0186136;0,021325;0,0197475;85,
29/12/2025;V;V;0,1423898;0,0184818;0,0211462;0,0197346;85,
29/12/2025;V;V;0,1424304;0,0183638;0,0210809;0,0197957;85,
29/12/2025;V;V;0,142593;0,0182288;0,021003;0,0198855;85,
29/12/2025;V;V;0,1428682;0,0181455;0,0211021;0,0200115;85,
29/12/2025;V;V;0,1432924;0,0181484;0,0212395;0,0201838;85,
29/12/2025;V;V;0,1438535;0,0182013;0,0214343;0,0204238;85,
29/12/2025;V;V;0,1445395;0,0182396;0,0216143;0,0207254;85,
29/12/2025;V;V;0,1453522;0,0183042;0,0218035;0,0210771;85,
29/12/2025;V;V;0,1463347;0,0183889;0,0220391;0,0214873;85,
29/12/2025;V;V;0,1475365;0,0185244;0,0224115;0,0220203;85,
29/12/2025;V;V;0,1489875;0,0186603;0,0228755;0,0226508;85,
29/12/2025;V;V;0,1528743;0,0188576;0,023398;0,0233824;85,
29/12/2025;V;V;0,1548724;0,0191255;0,0239424;0,0241954;85,
29/12/2025;V;V;0,1572214;0,0194405;0,0245051;0,025194;85,
29/12/2025;V;V;0,1599988;0,0197772;0,0251303;0,0263826;85,
29/12/2025;V;V;0,163249;0,0201279;0,0258314;0,0277803;85,
29/12/2025;V;V;0,167002;0,0204933;0,0266682;0,0295293;85,
29/12/2025;V;V;0,1712375;0,0208493;0,0275381;0,0315576;85,
29/12/2025;V;V;0,1757991;0,0211641;0,0284091;0,0338232;85,
28/12/2025;V;V;0,1805065;0,0214103;0,0291751;0,036268;85,
28/12/2025;V;V;0,1851456;0,0216798;0,0299345;0,0384782;85,
28/12/2025;V;V;0,1895286;0,0219798;0,0306903;0,0404729;85,
28/12/2025;V;V;0,1936309;0,0224994;0,0315749;0,042056;85,
28/12/2025;V;V;0,1974664;0,0230881;0,032478;0,0435117;85,
28/12/2025;V;V;0,2011148;0,0236795;0,0333387;0,0449552;85,
28/12/2025;V;V;0,2044818;0,0241743;0,0340005;0,0462282;85,
28/12/2025;V;V;0,2074318;0,0245005;0,0344149;0,0473595;85,
28/12/2025;C;V;0,2100749;0,0248263;0,034754;0,0483159;85,
28/12/2025;C;V;0,2125843;0,0250949;0,0350906;0,0492522;85,
28/12/2025;C;V;0,2150964;0,0254219;0,0356269;0,0502622;85,
28/12/2025;C;V;0,2175373;0,0257066;0,0359809;0,0511107;85,
28/12/2025;C;V;0,2197764;0,0259841;0,0363192;0,0520678;85,
28/12/2025;C;V;0,2218643;0,0262295;0,0364833;0,052987;85,
28/12/2025;C;V;0,2236189;0,0264904;0,0368781;0,0538466;85,
28/12/2025;C;V;0,224866;0,0267561;0,0371738;0,054321;85,
28/12/2025;C;V;0,2254189;0,0269585;0,0372664;0,0546687;85,
28/12/2025;C;V;0,2253341;0,0270835;0,0372139;0,0547844;85,
28/12/2025;C;V;0,2245339;0,0271336;0,0370362;0,0545758;85,
28/12/2025;C;V;0,2230377;0,0271979;0,0370322;0,0538683;85,
28/12/2025;C;V;0,2210063;0,0271779;0,0367994;0,0530867;85,
28/12/2025;C;V;0,2186338;0,0271047;0,0366498;0,0522936;85,
28/12/2025;C;V;0,2158712;0,0270377;0,0363504;0,0513145;85,
28/12/2025;C;V;0,2125608;0,0269544;0,0359113;0,0498856;85,
28/12/2025;C;V;0,2088129;0,0267165;0,0353081;0,0482082;85,
28/12/2025;C;V;0,2050612;0,0262974;0,0346237;0,0464176;85,
28/12/2025;C;V;0,2016756;0,0257874;0,0340783;0,0446877;85,
28/12/2025;C;V;0,1985809;0,0253706;0,0335185;0,0430733;85,
28/12/2025;C;V;0,1954943;0,0251193;0,0330506;0,0417782;85,
28/12/2025;C;V;0,1926406;0,0250475;0,0326351;0,0408684;85,
28/12/2025;C;V;0,1902055;0,0250586;0,0325191;0,0401815;85,
28/12/2025;C;V;0,1881272;0,0250994;0,0324376;0,0397295;85,
28/12/2025;C;V;0,1863911;0,0251888;0,0323698;0,0395285;85,
28/12/2025;C;V;0,1850002;0,0253501;0,0323403;0,0395345;85,
28/12/2025;C;V;0,1838987;0,0255632;0,0323924;0,0395667;85,
28/12/2025;C;V;0,1830444;0,025765;0,0326486;0,0395232;85,
28/12/2025;C;V;0,1825232;0,0259273;0,0330003;0,0397085;85,
28/12/2025;C;V;0,182416;0,0260616;0,0333486;0,0399409;85,
28/12/2025;C;V;0,1826742;0,0262284;0,0335885;0,0403563;85,
28/12/2025;C;V;0,1833696;0,0264706;0,0335755;0,0407252;85,
28/12/2025;C;V;0,1846149;0,0267579;0,0337424;0,0413908;85,
28/12/2025;C;V;0,186644;0,0270579;0,0341932;0,0425065;85,
28/12/2025;C;V;0,1892705;0,0273559;0,0348654;0,0439872;85,
28/12/2025;C;V;0,1920242;0,0276697;0,0354705;0,0456505;85,
28/12/2025;C;V;0,1943157;0,0279656;0,0359405;0,0470598;85,
28/12/2025;C;V;0,1956307;0,0282128;0,0360857;0,0478618;85,
28/12/2025;C;V;0,1958159;0,0283725;0,0361761;0,0480218;85,
28/12/2025;C;V;0,195;0,0283585;0,0360395;0,0475692;85,
28/12/2025;C;V;0,1934529;0,0282471;0,0358354;0,0468184;85,
28/12/2025;C;V;0,1915342;0,0280338;0,0355227;0,0459626;85,
28/12/2025;C;V;0,1893601;0,0278185;0,0351966;0,0447488;85,
28/12/2025;C;V;0,1870288;0,0275223;0,0349104;0,043491;85,
28/12/2025;C;V;0,1847406;0,0271624;0,034449;0,0422975;85,
28/12/2025;C;V;0,1824668;0,0266911;0,0339179;0,0411833;85,
28/12/2025;C;V;0,1800779;0,0261458;0,0332864;0,0399331;85,
28/12/2025;C;V;0,1774378;0,0255775;0,0325857;0,0383312;85,
28/12/2025;C;V;0,1746281;0,0250435;0,0317133;0,036755;85,
28/12/2025;C;V;0,1717984;0,0245347;0,0307551;0,0351142;85,
28/12/2025;C;V;0,1688617;0,0240254;0,0296622;0,0333303;85,
28/12/2025;C;V;0,1657862;0,0234689;0,0284083;0,0313664;85,
28/12/2025;C;V;0,1626916;0,0228898;0,0271908;0,0293991;85,
28/12/2025;C;V;0,159798;0,0223021;0,0260313;0,0276619;85,
28/12/2025;C;V;0,1571804;0,0218174;0,0251007;0,0261057;85,
28/12/2025;C;V;0,1547402;0,0213676;0,0243407;0,0247988;85,
28/12/2025;V;V;0,152322;0,0209983;0,0237457;0,0236869;85,
28/12/2025;V;V;0,1498901;0,0206268;0,0233886;0,022858;85,
28/12/2025;V;V;0,1477764;0,0202812;0,0230281;0,0222214;85,
28/12/2025;V;V;0,1463286;0,0198929;0,0227406;0,0216633;85,
28/12/2025;V;V;0,1454636;0,0195461;0,0225965;0,0212237;85,
28/12/2025;V;V;0,1449777;0,0192401;0,0224332;0,0209651;85,
28/12/2025;V;V;0,1447575;0,0190232;0,022397;0,0209869;85,
28/12/2025;V;V;0,1447312;0,018754;0,022291;0,0211044;85,
28/12/2025;V;V;0,1425777;0,0185644;0,0222697;0,0211615;85,
